input ,output,instruction,prompt
:question: What are the popular dishes in Bhopal?,"Biryani, Poha Jalebi, Kebabs, Tandoori Chicken, Bhel Puri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Osho Ashram. Day 3: Parvati Hill, Dagdusheth Ganapati. Day 4: Raja Dinkar Kelkar Museum, Pataleshwar Cave. Day 5: Khadakwasla Dam, Rajiv Gandhi Zoological Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Pune?,"Misal Pav, Vada Pav, Pithla Bhakri, Modak, Puran Poli.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: What is the best time to visit Chennai?,"December to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Auroville. Day 3: Fort St. George, San Thome Cathedral. Day 4: Guindy National Park, DakshinaChitra. Day 5: Elliots Beach, Besant Nagar.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vada, Sambar, Rasam.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: What is the best time to visit Kolkata?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Kolkata, India."
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Amber Fort, Hawa Mahal. Day 2: Jantar Mantar, City Palace. Day 3: Nahargarh Fort, Jaigarh Fort. Day 4: Albert Hall Museum, Ram Niwas Garden. Day 5: Galtaji Temple, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Gatte Ki Sabzi, Dal Baati Churma, Rajasthani Kadhi, Lassi, Pyaz Ki Kachori.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Agra?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Agra, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Mehtab Bagh. Day 2: Agra Fort, Fatehpur Sikri. Day 3: Tomb of Itimad-ud-Daulah, Chini Ka Rauza. Day 4: Taj Nature Camp, Sikandra Fort. Day 5: Keetham Lake, Akbar's Tomb.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Agra?,"Petha, Kebabs, Mawa Bati, Dal Baati Churma, Paratha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What is the best time to visit Varanasi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Ghats, Vishwanath Temple. Day 2: Sankat Mochan Temple, Durga Temple. Day 3: Ram Nagar Fort, Bharat Mata Temple. Day 4: Tulasi Manas Temple, BHU. Day 5: Chaukhandi Stupa, Banaras Hindu University.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Varanasi?,"Lassi, Kebabs, Sweets, Chole Bhature, Litti Chokha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Hussain Sagar Lake, Nehru Zoological Park. Day 3: Birla Mandir, Ramoji Film City. Day 4: Golkonda Fort, Qutb Shahi Tombs. Day 5: Salar Jung Museum, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nizam's Dum Biryani, Mirchi Ka Salan, Hyderabadi Marag.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Calangute Beach, Fort Aguada. Day 2: Anjuna Beach, Chapora Fort. Day 3: Baga Beach, Morjim Beach. Day 4: Dudhsagar Waterfalls, Arambol Beach. Day 5: Ashvem Beach, Mandrem Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: What are the popular dishes in Goa?,"Fish Curry, Prawn Curry, Xacuti, Vindaloo, Sausage.","Answer the question truthfully, you are a travel expert.","List popular dishes from Goa, India."
:question: What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Chhatrapati Shivaji Terminus, Bandra-Worli Sea Link. Day 4: Haji Ali Dargah, Marine Drive. Day 5: Siddhivinayak Temple, Colaba Causeway Market.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Masala Dosa, Pav Bhaji, Misal Pav, Bombil Fry.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: What is the best time to visit Delhi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Delhi, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Jama Masjid. Day 2: Qutub Minar, Humayun's Tomb. Day 3: Lodi Gardens, India Gate. Day 4: Lotus Temple, Akshardham Temple. Day 5: Chandni Chowk, Dilli Haat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Delhi?,"Butter Chicken, Chole Bhature, Rajma Chawal, Aloo Tikki, Kebabs.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: What is the best time to visit Ahmedabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Ahmedabad, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Laal Maas, Mawa Kachori, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jal Mahal. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Jaigarh Fort, Galtaji.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Pithla Bhakar, Saoji Masala, Puneri Kadhi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Parvati Hill, Dagdusheth Ganapati Temple. Day 3: Sinhagad Fort, Lohagad Fort. Day 4: Rajdari Hill, Raja Dinkar Kelkar Museum. Day 5: Mulshi Dam, Khadakwasla Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Kolkata?,"Biryani, Luchi Aloo Dum, Rolls, Jhal Muri, Rasgulla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Eden Gardens. Day 3: Fort William, Belur Math. Day 4: Dakshineswar Temple, Mother's Wax Museum. Day 5: Indian Museum, Millennium Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Rasam, Chettinad Chicken, Filter Coffee.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram Shore Temple. Day 2: Kapaleeshwarar Temple, Mylapore. Day 3: Chennai Rail Museum, San Thome Cathedral. Day 4: DakshinaChitra, Muttukadu Boat House. Day 5: Kovalam Beach, Mahabalipuram Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Rice Rasam, Vada Sambar, Ragi Mudde, Bisibele Bath, Idli Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Lalbagh Botanical Garden. Day 2: Ulsoor Lake, Visvesvaraya Industrial and Technological Museum. Day 3: Bangalore Palace, Tipu Sultan's Fort. Day 4: Bannerghatta National Park, Nandi Temple. Day 5: Halasuru Someshwara Temple, Bheemeshwari.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nizam's Dum Biryani, Mirchi Ka Salan, Hyderabadi Marag.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Hussain Sagar Lake, Nehru Zoological Park. Day 3: Birla Mandir, Ramoji Film City. Day 4: Golkonda Fort, Qutb Shahi Tombs. Day 5: Salar Jung Museum, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Varanasi?,"Lassi, Kebabs, Sweets, Chole Bhature, Litti Chokha.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: What is the best time to visit Varanasi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Kashi Vishwanath Temple, Dashashwamedh Ghat. Day 2: Sankat Mochan Hanuman Temple, Assi Ghat. Day 3: Vishwanath Temple, Ramnagar Fort. Day 4: Harishchandra Ghat, Manikarnika Ghat. Day 5: Godowlia Market, Chaukhandi Stupa.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: What are the popular dishes in Udaipur?,"Dal Baati Churma, Rajma Chawal, Kadhi, Gatte ki Sabji, Bada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Udaipur, India."
:question: What is the best time to visit Udaipur?,"September to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Udaipur, India."
:question: Plan a 5-day itinerary for Udaipur. ,"Day 1: City Palace, Lake Pichola. Day 2: Jag Mandir, Fateh Sagar Lake. Day 3: Saheliyon Ki Bari, Pratap Memorial. Day 4: Kumbhalgarh Fort, Badal Mahal. Day 5: Jaisamand Lake, Eklingji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Udaipur, India."
:question: What are the popular dishes in Agra?,"Petha, Paratha, Rabri, Chaat, Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What are the popular dishes in Cochin?,"Appam with stew, Meen curry, Idli Vada, Sadya, Puttu and Kadala curry.","Answer the question truthfully, you are a travel expert.","List popular dishes from Cochin, India."
:question: What is the best time to visit Cochin?,"November to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Cochin, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Chinese Fishing Nets, Fort Kochi. Day 2: Mattancherry Palace, St. Francis Church. Day 3: Jewish Synagogue, Jew Town. Day 4: Vypeen Island, Bolgatty Palace. Day 5: Cherai Beach, Paravur Church.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: What are the popular dishes in Amritsar?,"Amritsari Kulcha, Chole Bhature, Rajma Chawal, Lassi, Jalebi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Amritsar, India."
:question: What is the best time to visit Amritsar?,"November to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Amritsar, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Jallianwala Bagh. Day 2: Wagah Border, Hall Bazaar. Day 3: Maharaja Ranjit Singh Museum, Durgiana Temple. Day 4: Ram Tirath Temple, Khalsa College. Day 5: Gurdwara Baba Atal Rai, Khadoor Sahib.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Rajma Chawal, Kadhi, Gatte ki Sabji, Bada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Jaipur, India."
